time,threads,tps,qps,r,w,o,lat,err,reconn
78,16,3896.63,113054.37,51632.15,53628.96,7793.27,9.91,14.00,0.00
79,16,4051.17,114293.84,52212.21,53979.29,8102.34,9.39,29.00,0.00
80,16,3970.87,113827.34,51887.33,53998.26,7941.74,9.91,25.00,0.00
81,16,4102.19,114190.17,52101.36,53884.44,8204.37,9.73,17.00,0.00
82,16,4026.08,114293.17,52086.99,54155.03,8051.15,9.73,17.00,0.00
83,16,4039.86,114658.93,52347.14,54231.08,8080.71,9.39,13.00,0.00
84,16,4042.97,115140.01,52515.55,54538.53,8085.93,9.73,16.00,0.00
85,16,3996.94,114433.37,52212.26,54228.23,7992.89,9.91,20.00,0.00
86,16,4064.28,114555.94,52331.63,54094.75,8129.56,9.56,16.00,0.00
87,16,4084.86,115238.08,52468.21,54600.14,8169.72,9.56,23.00,0.00
88,16,3944.90,112058.09,51084.67,53083.62,7889.80,9.91,18.00,0.00
89,16,3993.14,114159.96,52027.81,54145.88,7986.28,9.73,17.00,0.00
90,16,3989.92,113979.65,52083.92,53917.89,7977.84,9.56,11.00,0.00
91,16,4013.05,113796.54,51950.70,53817.73,8028.11,9.56,17.00,0.00
92,16,4068.07,114117.07,52010.95,53969.98,8136.15,9.56,18.00,0.00
93,16,3994.00,112986.96,51460.98,53537.98,7988.00,9.91,13.00,0.00
94,16,3950.05,112782.39,51345.63,53536.66,7900.10,9.91,27.00,0.00
95,16,3961.98,113553.43,51822.74,53806.73,7923.96,9.56,26.00,0.00
96,16,3921.95,113036.46,51720.30,53472.27,7843.89,9.39,21.00,0.00
97,16,3884.78,112768.47,51478.02,53520.90,7769.55,9.91,17.00,0.00
98,16,3995.19,112920.44,51466.48,53463.57,7990.38,10.09,12.00,0.00
99,16,4008.08,112576.26,51247.03,53313.07,8016.16,9.91,17.00,0.00
100,16,3938.80,113030.21,51621.36,53531.26,7877.60,9.39,10.00,0.00
101,16,3881.15,112942.29,51573.96,53607.04,7761.30,9.56,11.00,0.00
102,16,3979.09,112837.44,51471.11,53407.15,7959.17,9.56,9.00,0.00
103,16,3944.93,112684.07,51465.12,53330.09,7888.86,9.56,21.00,0.00
104,16,4015.98,113455.31,51811.68,53611.67,8031.95,9.56,25.00,0.00
105,16,3952.11,114351.11,52300.42,54145.47,7905.22,9.39,12.00,0.00
106,16,3924.76,113298.18,51642.89,53805.76,7849.53,9.73,18.00,0.00
107,16,3959.09,112434.46,51248.12,53268.17,7918.17,9.91,18.00,0.00
108,16,3957.95,114548.63,52310.37,54322.35,7915.91,9.73,24.00,0.00
109,16,3976.04,114042.28,52010.58,54079.61,7952.09,9.73,13.00,0.00
110,16,4084.99,114152.77,52028.89,53953.89,8169.98,9.39,18.00,0.00
111,16,3993.01,114799.32,52526.15,54288.15,7985.02,9.39,15.00,0.00
112,16,4250.24,115430.39,52744.92,54185.00,8500.47,9.06,18.00,0.00
113,16,4054.88,114968.52,52469.41,54388.35,8110.75,9.39,23.00,0.00
114,16,4057.00,113957.08,51973.04,53870.04,8114.01,9.73,13.00,0.00
115,16,3968.02,115124.51,52520.23,54668.24,7936.04,9.91,16.00,0.00
116,16,4038.82,115465.78,52699.62,54688.53,8077.63,9.56,24.00,0.00
117,16,4021.16,116107.70,53000.15,55065.23,8042.33,9.56,14.00,0.00
118,16,4046.87,115966.14,52929.24,54943.17,8093.73,9.39,16.00,0.00
119,16,4142.18,116180.96,53065.27,54831.34,8284.35,9.06,20.00,0.00
120,16,4073.71,116303.82,52940.28,55216.12,8147.43,9.91,14.00,0.00
121,16,4162.25,116479.00,53163.19,54991.30,8324.50,9.22,22.00,0.00
122,16,4068.89,115950.95,52876.61,54936.56,8137.79,9.73,20.00,0.00
