time,threads,tps,qps,r,w,o,lat,err,reconn
68,16,4556.96,129515.80,59111.45,61290.43,9113.92,7.98,15.00,0.00
69,16,4579.01,129765.22,59199.10,61409.11,9157.02,8.28,28.00,0.00
70,16,4520.02,128876.54,58670.24,61166.25,9040.04,8.28,17.00,0.00
71,16,4448.03,128534.81,58585.37,61052.38,8897.06,8.43,21.00,0.00
72,16,4545.98,130241.53,59412.79,61737.78,9090.97,8.74,19.00,0.00
73,16,4568.93,130499.13,59568.14,61793.11,9137.87,8.13,15.00,0.00
74,16,4472.02,128670.58,58698.27,61027.28,8945.04,9.39,10.00,0.00
75,16,4610.05,130489.50,59459.68,61809.71,9220.11,7.98,24.00,0.00
76,16,4629.00,130977.88,59824.94,61894.94,9257.99,7.70,15.00,0.00
77,16,4620.98,130706.51,59637.78,61826.77,9241.97,7.84,21.00,0.00
78,16,4498.03,130324.80,59545.36,61783.38,8996.06,8.28,15.00,0.00
79,16,4550.98,129337.55,59045.80,61189.79,9101.97,8.28,17.00,0.00
80,16,4591.00,131033.05,59882.02,61969.02,9182.00,7.70,22.00,0.00
81,16,4585.01,129999.29,59330.13,61499.14,9170.02,8.13,22.00,0.00
82,16,4542.00,130137.04,59372.02,61681.02,9084.00,8.28,15.00,0.00
83,16,4557.79,131237.99,59744.27,62378.14,9115.58,9.39,25.00,0.00
84,16,4657.21,131554.94,59968.71,62271.81,9314.42,7.84,31.00,0.00
85,16,4565.96,130889.84,59696.47,62060.45,9132.92,7.98,24.00,0.00
86,16,4579.02,130847.45,59765.21,61925.21,9157.03,7.84,26.00,0.00
87,16,4510.02,130447.46,59531.21,61896.22,9020.03,8.13,18.00,0.00
88,16,4605.92,131875.64,60187.92,62475.88,9211.84,7.70,13.00,0.00
89,16,4604.06,131563.71,60152.78,62202.81,9208.12,7.84,28.00,0.00
90,16,4587.05,131014.33,59689.60,62150.63,9174.09,7.98,21.00,0.00
91,16,4611.96,131501.96,59969.52,62308.51,9223.93,7.84,18.00,0.00
92,16,4615.03,131005.95,59690.43,62085.45,9230.07,7.98,22.00,0.00
93,16,4732.92,134331.64,61177.92,63687.88,9465.83,7.70,32.00,0.00
94,16,4725.05,135355.52,61888.69,64016.72,9450.11,7.43,16.00,0.00
95,16,4760.95,134396.61,61256.37,63618.34,9521.90,7.70,15.00,0.00
96,16,4726.03,134920.86,61447.39,64021.41,9452.06,7.84,21.00,0.00
97,16,4744.03,133568.71,60920.32,63160.34,9488.05,7.70,32.00,0.00
98,16,4676.96,134564.94,61378.52,63832.50,9353.93,7.84,26.00,0.00
99,16,4905.03,134995.70,61610.32,63576.33,9809.05,7.43,31.00,0.00
100,16,4780.95,134754.60,61382.36,63809.34,9562.90,8.13,18.00,0.00
101,16,4781.05,134902.32,61564.60,63775.62,9562.09,7.43,22.00,0.00
102,16,4703.00,134013.89,61214.95,63392.95,9405.99,7.70,16.00,0.00
103,16,4740.01,135461.37,61862.17,64119.18,9480.03,7.56,17.00,0.00
104,16,4868.99,134655.83,61322.92,63594.92,9737.99,7.43,22.00,0.00
105,16,4744.00,135436.92,61821.96,64126.96,9487.99,7.56,28.00,0.00
